condition,run_id,generation,best_fitness,avg_fitness,best_coverage,best_bugs,novelty,diversity
COV_ONLY,1,50,0.850000,0.817500,0.850000,6,0.883333,0.864925
COV_ONLY,1,51,0.866667,0.820000,0.866667,6,0.883333,0.865297
COV_ONLY,1,52,0.850000,0.804583,0.850000,4,0.883333,0.864997
COV_ONLY,1,53,0.850000,0.810000,0.850000,5,0.883333,0.865846
COV_ONLY,1,54,0.850000,0.814167,0.850000,5,0.883333,0.865729
COV_ONLY,1,55,0.866667,0.812917,0.866667,5,0.883333,0.864956
COV_ONLY,1,56,0.850000,0.813750,0.850000,6,0.883333,0.865622
COV_ONLY,1,57,0.866667,0.822083,0.866667,5,0.883333,0.866368
COV_ONLY,1,58,0.850000,0.807500,0.850000,5,0.883333,0.864099
COV_ONLY,1,59,0.850000,0.808750,0.850000,5,0.883333,0.864722
COV_ONLY,2,0,0.766667,0.670833,0.766667,5,0.833333,0.808545
COV_ONLY,2,1,0.733333,0.679167,0.733333,5,0.833333,0.816796
COV_ONLY,2,2,0.766667,0.695000,0.766667,6,0.850000,0.824599
COV_ONLY,2,3,0.783333,0.712917,0.783333,5,0.866667,0.832116
COV_ONLY,2,4,0.783333,0.717500,0.783333,5,0.883333,0.839079
COV_ONLY,2,5,0.816667,0.730417,0.816667,5,0.883333,0.841479
COV_ONLY,2,6,0.816667,0.743333,0.816667,5,0.883333,0.846761
COV_ONLY,2,7,0.816667,0.759583,0.816667,6,0.883333,0.847044
COV_ONLY,2,8,0.833333,0.766667,0.833333,5,0.883333,0.848972
COV_ONLY,2,9,0.833333,0.783750,0.833333,5,0.883333,0.852678
COV_ONLY,2,10,0.833333,0.777500,0.833333,6,0.883333,0.852303
COV_ONLY,2,11,0.816667,0.785833,0.816667,4,0.883333,0.855172
COV_ONLY,2,12,0.833333,0.787083,0.833333,5,0.883333,0.857774
COV_ONLY,2,13,0.833333,0.788750,0.833333,6,0.883333,0.856511
COV_ONLY,2,14,0.833333,0.791250,0.833333,6,0.883333,0.856413
COV_ONLY,2,15,0.850000,0.780833,0.850000,6,0.883333,0.856210
COV_ONLY,2,16,0.850000,0.795000,0.850000,5,0.883333,0.858171
COV_ONLY,2,17,0.850000,0.803333,0.850000,6,0.883333,0.859123
COV_ONLY,2,18,0.866667,0.806250,0.866667,6,0.883333,0.861267
COV_ONLY,2,19,0.850000,0.813750,0.850000,5,0.883333,0.861952
COV_ONLY,2,20,0.866667,0.805417,0.866667,6,0.883333,0.863047
COV_ONLY,2,21,0.866667,0.817500,0.866667,6,0.883333,0.865705
COV_ONLY,2,22,0.866667,0.815833,0.866667,7,0.883333,0.865755
COV_ONLY,2,23,0.850000,0.809583,0.850000,6,0.883333,0.866854
COV_ONLY,2,24,0.866667,0.815417,0.866667,6,0.883333,0.866519
COV_ONLY,2,25,0.866667,0.812500,0.866667,6,0.883333,0.869046
COV_ONLY,2,26,0.866667,0.815833,0.866667,6,0.883333,0.868180
COV_ONLY,2,27,0.866667,0.815833,0.866667,6,0.883333,0.866404
COV_ONLY,2,28,0.850000,0.817083,0.850000,6,0.883333,0.870027
COV_ONLY,2,29,0.866667,0.815417,0.866667,6,0.883333,0.868525
COV_ONLY,2,30,0.866667,0.816250,0.866667,6,0.883333,0.867002
COV_ONLY,2,31,0.850000,0.814167,0.850000,6,0.883333,0.864397
COV_ONLY,2,32,0.866667,0.823750,0.866667,6,0.883333,0.865619
COV_ONLY,2,33,0.866667,0.826250,0.866667,6,0.883333,0.864956
COV_ONLY,2,34,0.866667,0.820417,0.866667,6,0.883333,0.865936
COV_ONLY,2,35,0.883333,0.822917,0.883333,6,0.883333,0.864982
COV_ONLY,2,36,0.850000,0.822083,0.850000,6,0.883333,0.863456
COV_ONLY,2,37,0.866667,0.818333,0.866667,6,0.883333,0.865292
COV_ONLY,2,38,0.883333,0.823750,0.883333,6,0.883333,0.866712
COV_ONLY,2,39,0.883333,0.824167,0.883333,6,0.883333,0.865782
COV_ONLY,2,40,0.866667,0.822917,0.866667,6,0.883333,0.864190
COV_ONLY,2,41,0.866667,0.822917,0.866667,5,0.883333,0.865562
COV_ONLY,2,42,0.866667,0.824583,0.866667,6,0.883333,0.865802
COV_ONLY,2,43,0.866667,0.821667,0.866667,6,0.883333,0.864429
COV_ONLY,2,44,0.866667,0.839167,0.866667,6,0.883333,0.865005
COV_ONLY,2,45,0.883333,0.832917,0.883333,6,0.883333,0.865854
COV_ONLY,2,46,0.883333,0.833333,0.883333,6,0.883333,0.866958
COV_ONLY,2,47,0.883333,0.837083,0.883333,6,0.883333,0.865350
COV_ONLY,2,48,0.866667,0.829583,0.866667,5,0.900000,0.862023
COV_ONLY,2,49,0.883333,0.839583,0.883333,6,0.900000,0.863971
COV_ONLY,2,50,0.866667,0.823750,0.866667,6,0.900000,0.863810
COV_ONLY,2,51,0.883333,0.838333,0.883333,6,0.900000,0.864603
COV_ONLY,2,52,0.883333,0.835000,0.883333,6,0.900000,0.863326
COV_ONLY,2,53,0.866667,0.836250,0.866667,6,0.900000,0.863440
COV_ONLY,2,54,0.883333,0.828750,0.883333,6,0.900000,0.864743
COV_ONLY,2,55,0.883333,0.838333,0.883333,7,0.900000,0.864751
COV_ONLY,2,56,0.883333,0.826250,0.883333,6,0.900000,0.864551
COV_ONLY,2,57,0.883333,0.837917,0.883333,6,0.900000,0.867281
COV_ONLY,2,58,0.883333,0.837083,0.883333,6,0.900000,0.863755
COV_ONLY,2,59,0.883333,0.837083,0.883333,6,0.900000,0.863219
COV_ONLY,3,0,0.750000,0.662500,0.750000,4,0.833333,0.811415
COV_ONLY,3,1,0.783333,0.682500,0.783333,5,0.850000,0.824595
COV_ONLY,3,2,0.750000,0.690833,0.750000,4,0.850000,0.830253
COV_ONLY,3,3,0.783333,0.705417,0.783333,4,0.850000,0.833284
COV_ONLY,3,4,0.816667,0.712083,0.816667,6,0.866667,0.837752
COV_ONLY,3,5,0.800000,0.733333,0.800000,6,0.866667,0.844967
COV_ONLY,3,6,0.850000,0.754583,0.850000,6,0.883333,0.850331
COV_ONLY,3,7,0.800000,0.745417,0.800000,5,0.883333,0.854239
COV_ONLY,3,8,0.816667,0.750000,0.816667,5,0.883333,0.851357
COV_ONLY,3,9,0.816667,0.766250,0.816667,5,0.883333,0.854244
COV_ONLY,3,10,0.833333,0.762917,0.833333,6,0.883333,0.855656
COV_ONLY,3,11,0.833333,0.772917,0.833333,5,0.883333,0.854224
COV_ONLY,3,12,0.833333,0.762500,0.833333,4,0.883333,0.854028
COV_ONLY,3,13,0.833333,0.770000,0.833333,6,0.883333,0.856312
COV_ONLY,3,14,0.850000,0.775000,0.850000,6,0.883333,0.860230
COV_ONLY,3,15,0.833333,0.771250,0.833333,5,0.883333,0.858603
COV_ONLY,3,16,0.833333,0.787083,0.833333,5,0.883333,0.860779
COV_ONLY,3,17,0.833333,0.795417,0.833333,6,0.883333,0.860185
COV_ONLY,3,18,0.850000,0.788333,0.850000,6,0.883333,0.863710
COV_ONLY,3,19,0.850000,0.797917,0.850000,6,0.883333,0.863143
COV_ONLY,3,20,0.850000,0.782917,0.850000,6,0.883333,0.862676
COV_ONLY,3,21,0.850000,0.795417,0.850000,5,0.883333,0.861257
COV_ONLY,3,22,0.866667,0.795833,0.866667,6,0.883333,0.862930
COV_ONLY,3,23,0.850000,0.798333,0.850000,6,0.883333,0.866007
COV_ONLY,3,24,0.850000,0.796250,0.850000,6,0.883333,0.864478
COV_ONLY,3,25,0.866667,0.800000,0.866667,6,0.883333,0.866750
COV_ONLY,3,26,0.850000,0.787917,0.850000,5,0.883333,0.867247
COV_ONLY,3,27,0.850000,0.807500,0.850000,5,0.883333,0.866471
COV_ONLY,3,28,0.866667,0.808750,0.866667,5,0.883333,0.868607
COV_ONLY,3,29,0.850000,0.800417,0.850000,6,0.883333,0.866145
COV_ONLY,3,30,0.850000,0.802917,0.850000,6,0.883333,0.866978
COV_ONLY,3,31,0.850000,0.804167,0.850000,6,0.883333,0.868357
COV_ONLY,3,32,0.866667,0.813750,0.866667,6,0.883333,0.869915
COV_ONLY,3,33,0.850000,0.816250,0.850000,6,0.883333,0.869771
COV_ONLY,3,34,0.866667,0.827500,0.866667,6,0.883333,0.870620
COV_ONLY,3,35,0.866667,0.821250,0.866667,6,0.883333,0.869576
COV_ONLY,3,36,0.850000,0.825417,0.850000,5,0.883333,0.869175
COV_ONLY,3,37,0.866667,0.823750,0.866667,6,0.883333,0.871465
COV_ONLY,3,38,0.866667,0.816250,0.866667,6,0.883333,0.869599
COV_ONLY,3,39,0.866667,0.825833,0.866667,6,0.883333,0.871387
COV_ONLY,3,40,0.866667,0.820833,0.866667,6,0.883333,0.870795
COV_ONLY,3,41,0.850000,0.815000,0.850000,6,0.883333,0.866791
COV_ONLY,3,42,0.866667,0.818750,0.866667,6,0.883333,0.867297
COV_ONLY,3,43,0.866667,0.811250,0.866667,6,0.883333,0.868713
COV_ONLY,3,44,0.866667,0.810833,0.866667,6,0.883333,0.869471
COV_ONLY,3,45,0.866667,0.822917,0.866667,6,0.883333,0.869231
COV_ONLY,3,46,0.866667,0.817500,0.866667,5,0.883333,0.865920
COV_ONLY,3,47,0.866667,0.828750,0.866667,6,0.883333,0.866817
COV_ONLY,3,48,0.866667,0.827917,0.866667,6,0.883333,0.868838
COV_ONLY,3,49,0.866667,0.816667,0.866667,6,0.883333,0.867533
COV_ONLY,3,50,0.883333,0.833333,0.883333,6,0.883333,0.867192
COV_ONLY,3,51,0.866667,0.834167,0.866667,5,0.883333,0.869117
COV_ONLY,3,52,0.866667,0.834167,0.866667,6,0.883333,0.869859
COV_ONLY,3,53,0.866667,0.825417,0.866667,6,0.883333,0.867417
COV_ONLY,3,54,0.866667,0.828333,0.866667,6,0.883333,0.869183
COV_ONLY,3,55,0.866667,0.831667,0.866667,6,0.883333,0.868268
COV_ONLY,3,56,0.866667,0.826250,0.866667,5,0.883333,0.868255
COV_ONLY,3,57,0.866667,0.832917,0.866667,6,0.883333,0.868719
COV_ONLY,3,58,0.866667,0.834167,0.866667,6,0.883333,0.869309
COV_ONLY,3,59,0.866667,0.835417,0.866667,7,0.883333,0.868658
COV_ONLY,4,0,0.733333,0.660000,0.733333,5,0.833333,0.805662
COV_ONLY,4,1,0.733333,0.667917,0.733333,5,0.850000,0.820265
COV_ONLY,4,2,0.783333,0.691250,0.783333,6,0.850000,0.830511
COV_ONLY,4,3,0.750000,0.700000,0.750000,5,0.850000,0.835507
COV_ONLY,4,4,0.850000,0.720417,0.850000,6,0.883333,0.838011
COV_ONLY,4,5,0.833333,0.737083,0.833333,5,0.883333,0.840404
COV_ONLY,4,6,0.833333,0.750000,0.833333,6,0.883333,0.846986
COV_ONLY,4,7,0.850000,0.771250,0.850000,5,0.883333,0.850134
COV_ONLY,4,8,0.866667,0.794583,0.866667,6,0.883333,0.853264
COV_ONLY,4,9,0.850000,0.800000,0.850000,5,0.883333,0.853161
COV_ONLY,4,10,0.850000,0.792083,0.850000,6,0.883333,0.850332
COV_ONLY,4,11,0.850000,0.795417,0.850000,5,0.883333,0.846728
COV_ONLY,4,12,0.850000,0.806667,0.850000,6,0.883333,0.848051
COV_ONLY,4,13,0.866667,0.809583,0.866667,6,0.883333,0.847844
COV_ONLY,4,14,0.850000,0.804167,0.850000,6,0.883333,0.850555
COV_ONLY,4,15,0.866667,0.807917,0.866667,6,0.883333,0.851872
COV_ONLY,4,16,0.850000,0.802500,0.850000,6,0.883333,0.851306
COV_ONLY,4,17,0.866667,0.808333,0.866667,6,0.883333,0.850685
COV_ONLY,4,18,0.850000,0.812500,0.850000,6,0.883333,0.852782
COV_ONLY,4,19,0.866667,0.811250,0.866667,6,0.883333,0.851221
COV_ONLY,4,20,0.866667,0.799167,0.866667,6,0.883333,0.846085
COV_ONLY,4,21,0.883333,0.801667,0.883333,6,0.883333,0.848339
COV_ONLY,4,22,0.866667,0.810833,0.866667,6,0.883333,0.849231
COV_ONLY,4,23,0.866667,0.824583,0.866667,6,0.883333,0.850000
COV_ONLY,4,24,0.866667,0.808750,0.866667,6,0.883333,0.849833
COV_ONLY,4,25,0.866667,0.818750,0.866667,6,0.883333,0.851852
COV_ONLY,4,26,0.850000,0.809167,0.850000,6,0.883333,0.852163
COV_ONLY,4,27,0.866667,0.817500,0.866667,6,0.883333,0.852563
COV_ONLY,4,28,0.866667,0.817917,0.866667,6,0.883333,0.854875
