run_id,generation,best_fitness,avg_fitness,best_coverage,best_bugs,cumulative_bugs,novelty,diversity,avg_input_length,avg_input_length_pop
3,23,0.426726,0.416587,0.545455,3,3,0.568182,0.784837,36.41,27.44
3,24,0.426668,0.418334,0.545455,3,3,0.568182,0.786799,35.41,28.75
3,25,0.437701,0.414965,0.568182,3,3,0.568182,0.786767,31.34,28.11
3,26,0.427255,0.417535,0.545455,3,3,0.568182,0.787137,33.56,28.85
3,27,0.436802,0.418188,0.568182,3,3,0.568182,0.786796,30.19,29.85
3,28,0.426998,0.417129,0.545455,3,3,0.568182,0.786753,34.99,28.89
3,29,0.426709,0.419872,0.545455,3,3,0.568182,0.787175,25.85,29.30
3,30,0.427019,0.419727,0.545455,3,3,0.568182,0.788691,27.13,29.77
3,31,0.427520,0.421794,0.545455,3,3,0.568182,0.789830,33.95,28.88
3,32,0.426945,0.423176,0.545455,3,3,0.568182,0.791037,30.95,29.36
3,33,0.427152,0.418924,0.545455,3,3,0.568182,0.790170,31.05,29.71
3,34,0.427227,0.421026,0.545455,3,3,0.568182,0.791601,31.97,29.93
3,35,0.427197,0.421811,0.545455,3,3,0.568182,0.791947,35.97,30.08
3,36,0.438708,0.421840,0.568182,3,3,0.568182,0.793253,28.95,30.79
3,37,0.427530,0.422961,0.545455,3,3,0.568182,0.792485,30.10,30.55
3,38,0.427594,0.424311,0.545455,3,3,0.568182,0.794278,31.87,30.51
3,39,0.427314,0.424657,0.545455,3,3,0.568182,0.793896,26.77,30.82
3,40,0.427576,0.424232,0.545455,3,3,0.568182,0.795065,28.45,29.78
3,41,0.438957,0.424973,0.568182,3,3,0.568182,0.796578,29.81,29.98
3,42,0.438736,0.425613,0.568182,3,3,0.568182,0.797019,31.73,30.39
3,43,0.427873,0.420411,0.545455,3,3,0.568182,0.796989,29.35,29.79
3,44,0.427787,0.425764,0.545455,3,3,0.568182,0.797246,29.71,29.46
3,45,0.439018,0.427031,0.568182,3,3,0.568182,0.798751,27.93,30.56
3,46,0.427968,0.424539,0.545455,3,3,0.568182,0.799259,31.72,30.36
3,47,0.427807,0.426265,0.545455,3,3,0.568182,0.798459,33.21,29.38
3,48,0.427963,0.425592,0.545455,3,3,0.568182,0.799569,27.81,29.51
3,49,0.438237,0.425540,0.568182,3,3,0.568182,0.799519,27.60,29.41
3,50,0.427966,0.425281,0.545455,3,3,0.568182,0.799143,28.59,29.69
3,51,0.428194,0.426242,0.545455,3,3,0.568182,0.800155,29.65,29.31
3,52,0.427959,0.423470,0.545455,3,3,0.568182,0.799674,27.50,30.55
3,53,0.427983,0.424554,0.545455,3,3,0.568182,0.800017,31.35,29.41
3,54,0.428017,0.424886,0.545455,3,3,0.568182,0.801284,27.99,29.45
3,55,0.427909,0.423905,0.545455,3,3,0.568182,0.801142,28.21,29.99
3,56,0.428101,0.423398,0.545455,3,3,0.568182,0.800668,28.32,29.77
3,57,0.428066,0.425564,0.545455,3,3,0.568182,0.801827,31.41,29.70
3,58,0.428144,0.425269,0.545455,3,3,0.568182,0.801752,32.53,30.57
3,59,0.428354,0.426574,0.545455,3,3,0.568182,0.803371,32.14,31.50
4,0,0.474942,0.397037,0.500000,3,3,0.545455,0.767141,28.91,26.41
4,1,0.427507,0.400230,0.545455,3,3,0.568182,0.768113,30.53,26.14
4,2,0.424672,0.400230,0.545455,3,3,0.568182,0.770977,24.53,25.12
4,3,0.424865,0.404433,0.545455,3,3,0.568182,0.770183,21.72,23.86
4,4,0.424633,0.405284,0.545455,3,3,0.568182,0.770604,24.43,23.36
4,5,0.425641,0.405961,0.545455,3,3,0.568182,0.772710,27.91,23.84
4,6,0.424913,0.405126,0.545455,3,3,0.568182,0.772504,24.61,24.69
4,7,0.436723,0.406317,0.568182,3,3,0.568182,0.774601,23.56,25.37
4,8,0.425391,0.408726,0.545455,3,3,0.568182,0.774227,24.23,24.37
4,9,0.425143,0.407523,0.545455,3,3,0.568182,0.773964,23.85,24.04
4,10,0.425784,0.410412,0.545455,3,3,0.568182,0.775986,25.12,24.44
4,11,0.425487,0.410334,0.545455,3,3,0.568182,0.775825,24.99,24.70
4,12,0.425779,0.409479,0.545455,3,3,0.568182,0.776658,23.71,24.04
4,13,0.426104,0.410510,0.545455,3,3,0.568182,0.778780,26.78,24.88
4,14,0.437021,0.414672,0.568182,3,3,0.568182,0.777748,24.28,24.26
4,15,0.426399,0.413032,0.545455,3,3,0.568182,0.778540,27.11,24.74
4,16,0.426700,0.413621,0.545455,3,3,0.568182,0.780484,26.64,25.31
4,17,0.426368,0.415563,0.545455,3,3,0.568182,0.780649,24.63,24.99
4,18,0.437500,0.416168,0.568182,3,3,0.568182,0.782058,25.04,25.05
4,19,0.425963,0.412806,0.545455,3,3,0.568182,0.779985,23.76,24.68
4,20,0.426314,0.415317,0.545455,3,3,0.568182,0.782158,25.39,25.55
4,21,0.437961,0.413677,0.568182,3,3,0.568182,0.784120,23.57,25.73
